#WL |a|^2+|d|^2_ln00 |b|^2+|c|^2_ln00 |a|^2+|d|^2_ln01 |b|^2+|c|^2_ln01 |a|^2+|d|^2_ln02 |b|^2+|c|^2_ln02 |a|^2+|d|^2_ln10 |b|^2+|c|^2_ln10 |a|^2+|d|^2_ln11 |b|^2+|c|^2_ln11 |a|^2+|d|^2_ln12 |b|^2+|c|^2_ln12 |a|^2+|d|^2_ln20 |b|^2+|c|^2_ln20 |a|^2+|d|^2_ln21 |b|^2+|c|^2_ln21 |a|^2+|d|^2_ln22 |b|^2+|c|^2_ln22 |a|^2+|d|^2_ln30 |b|^2+|c|^2_ln30 |a|^2+|d|^2_ln31 |b|^2+|c|^2_ln31 |a|^2+|d|^2_ln32 |b|^2+|c|^2_ln32 
# |a|+|d|400.000000 0.317299 0.388654 0.027069 0.242066 0.003778 0.009534 1.387456 2.920166 1.554898 15.272500 2.124936 4.960141 1.323252 0.626370 0.102308 0.319801 0.012231 0.011560 1.468645 1.151240 1.008374 1.001136 1.000014 1.000006
421.000000 1.091250 2.531575 0.292419 0.107315 0.004720 0.037848 1.457671 12.637716 3.686674 2.920222 0.392501 5.534194 1.084441 3.706952 0.300770 0.133466 0.004426 0.044056 1.344509 1.107034 1.002696 1.000916 1.000010 1.000022
421.500000 1.131476 2.558785 0.314933 0.106909 0.004648 0.040083 1.473378 12.672806 3.849616 2.862321 0.372075 5.719164 1.090040 3.740431 0.315236 0.132824 0.004248 0.046625 1.340876 1.099873 1.002608 1.000930 1.000010 1.000024
422.000000 1.173512 2.577634 0.339584 0.106567 0.004582 0.042521 1.489876 12.666566 4.025570 2.807698 0.353146 5.921852 1.096156 3.761689 0.330855 0.132263 0.004082 0.049427 1.337258 1.092718 1.002522 1.000944 1.000010 1.000025
422.500000 1.217323 2.587183 0.366562 0.106281 0.004521 0.045179 1.507075 12.615470 4.215326 2.756084 0.335562 6.143174 1.102709 3.769408 0.347700 0.131776 0.003926 0.052480 1.333649 1.085634 1.002439 1.000957 1.000010 1.000026
423.000000 1.262990 2.586072 0.396147 0.106043 0.004463 0.048077 1.524883 12.513613 4.420002 2.706987 0.319129 6.383966 1.109592 3.761638 0.365878 0.131352 0.003779 0.055810 1.330027 1.078668 1.002360 1.000971 1.000010 1.000027
423.500000 1.310409 2.573250 0.428531 0.105847 0.004407 0.051229 1.543155 12.357211 4.640090 2.660171 0.303731 6.644324 1.116683 3.736909 0.385438 0.130980 0.003640 0.059429 1.326381 1.071894 1.002287 1.000984 1.000009 1.000029
424.000000 1.359669 2.548069 0.464053 0.105687 0.004354 0.054656 1.561827 12.144120 4.876925 2.615288 0.289229 6.925062 1.123897 3.694325 0.406506 0.130654 0.003507 0.063363 1.322688 1.065371 1.002220 1.000998 1.000009 1.000030
424.500000 1.410715 2.510415 0.502942 0.105558 0.004303 0.058367 1.580776 11.875063 5.130857 2.572141 0.275546 7.225366 1.131131 3.633794 0.429123 0.130366 0.003381 0.067620 1.318941 1.059180 1.002161 1.001012 1.000009 1.000032
425.000000 1.463583 2.459932 0.545500 0.105453 0.004253 0.062367 1.599870 11.549298 5.402259 2.530377 0.262569 7.543434 1.138255 3.554852 0.453339 0.130110 0.003259 0.072206 1.315113 1.053381 1.002112 1.001026 1.000009 1.000034
425.500000 1.518292 2.399563 0.592007 0.105379 0.004205 0.066666 1.619177 11.182122 5.692090 2.490197 0.250317 7.879518 1.145343 3.461867 0.479241 0.129892 0.003144 0.077133 1.311227 1.048050 1.002075 1.001040 1.000009 1.000036
