#       x [cm]         y [cm]         z [cm]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]  
#------------------------------------------------------------------------------------------------------------------------------------------
            0       -3.50073        8.55735      -0.113388   -3.96282e-05   -4.52172e-05      -0.585632   -0.000107087   -0.000149444
            0       -4.27868        8.55735      0.0263888   -3.30002e-05   -4.95835e-05      -0.723405   -5.59938e-05   -8.37259e-05
            0       -5.05662        8.55735      0.0573088    9.08637e-05   -0.000287961      -0.918081   -0.000165985     0.00056056
            0       -5.83456        8.55735      -0.044102    7.32853e-05   -5.03294e-05       -1.06598    0.000146841   -0.000177967
            0        -6.6125        8.55735      -0.208944    0.000192595    0.000102539       -1.10624    0.000463744    0.000394742
            0         6.6125        7.77941       0.965946    0.000836044   -0.000261292      -0.538161   -0.000152433    -7.3106e-05
            0        5.83456        7.77941          1.033   -0.000113902   -0.000107453      -0.400253   -1.62103e-05   -3.50453e-05
            0        5.05662        7.77941       0.965707   -3.96518e-05   -4.46636e-05      -0.231428    1.78347e-05    -2.6755e-05
            0        4.27868        7.77941       0.771312    7.35285e-05     0.00015759       -0.14855   -0.000130107   -0.000198772
            0        3.50073        7.77941       0.561652   -0.000307062    0.000200525      -0.214226    0.000292546   -0.000232168
            0        2.72279        7.77941       0.437375    7.31711e-05   -6.39018e-05      -0.382151    2.25195e-05   -2.66684e-05
            0        1.94485        7.77941        0.42246   -6.39077e-05   -6.77277e-05      -0.562664    3.91592e-05    4.26552e-05
            0        1.16691        7.77941        0.46826    4.29372e-05   -0.000100287      -0.691303    6.17073e-05     4.9881e-05
            0       0.388971        7.77941       0.511739   -0.000203136    0.000294451      -0.751434    0.000271657   -0.000388808
            0      -0.388971        7.77941       0.511739    0.000203136    0.000294451      -0.751434   -0.000271657   -0.000388808
            0       -1.16691        7.77941        0.46826   -4.29372e-05   -0.000100287      -0.691303   -6.17073e-05     4.9881e-05
            0       -1.94485        7.77941        0.42246    6.39077e-05   -6.77277e-05      -0.562664   -3.91592e-05    4.26552e-05
            0       -2.72279        7.77941       0.437375   -7.31711e-05   -6.39018e-05      -0.382151   -2.25195e-05   -2.66684e-05
            0       -3.50073        7.77941       0.561652    0.000307062    0.000200525      -0.214226   -0.000292546   -0.000232168
            0       -4.27868        7.77941       0.771312   -7.35285e-05     0.00015759       -0.14855    0.000130107   -0.000198772
            0       -5.05662        7.77941       0.965707    3.96518e-05   -4.46636e-05      -0.231428   -1.78347e-05    -2.6755e-05
            0       -5.83456        7.77941          1.033    0.000113902   -0.000107453      -0.400253    1.62103e-05   -3.50453e-05
            0        -6.6125        7.77941       0.965946   -0.000836044   -0.000261292      -0.538161    0.000152433    -7.3106e-05
            0         6.6125        7.00147       0.758292   -4.13012e-06    1.80207e-06       0.714934    6.92499e-06    2.81203e-06
            0        5.83456        7.00147       0.721018    4.47815e-05   -4.47026e-05       0.835887    3.86345e-05   -7.53935e-05
            0        5.05662        7.00147       0.554179   -2.47575e-05    0.000267948       0.889366   -5.81627e-05    0.000326607
            0        4.27868        7.00147       0.364226    0.000158168    0.000240213       0.779134    0.000224523    0.000476267
            0        3.50073        7.00147       0.296062    0.000224323    0.000119925       0.551012    0.000298932   -8.49607e-05
            0        2.72279        7.00147       0.394634    5.71506e-06     0.00132971       0.330428   -8.75007e-06     0.00111717
            0        1.94485        7.00147       0.584395   -0.000233153   -0.000240653       0.218398   -0.000195388   -0.000213911
            0        1.16691        7.00147        0.76035   -8.47329e-06    0.000205066       0.215483   -1.10456e-06     0.00015139
            0       0.388971        7.00147       0.854412    2.09562e-05   -7.83171e-05       0.244725     4.1373e-05   -1.39685e-05
            0      -0.388971        7.00147       0.854412   -2.09562e-05   -7.83171e-05       0.244725    -4.1373e-05   -1.39685e-05
            0       -1.16691        7.00147        0.76035    8.47329e-06    0.000205066       0.215483    1.10456e-06     0.00015139
            0       -1.94485        7.00147       0.584395    0.000233153   -0.000240653       0.218398    0.000195388   -0.000213911
            0       -2.72279        7.00147       0.394634   -5.71506e-06     0.00132971       0.330428    8.75007e-06     0.00111717
            0       -3.50073        7.00147       0.296062   -0.000224323    0.000119925       0.551012   -0.000298932   -8.49607e-05
            0       -4.27868        7.00147       0.364226   -0.000158168    0.000240213       0.779134   -0.000224523    0.000476267
            0       -5.05662        7.00147       0.554179    2.47575e-05    0.000267948       0.889366    5.81627e-05    0.000326607
            0       -5.83456        7.00147       0.721018   -4.47815e-05   -4.47026e-05       0.835887   -3.86345e-05   -7.53935e-05
            0        -6.6125        7.00147       0.758292    4.13012e-06    1.80207e-06       0.714934   -6.92499e-06    2.81203e-06
            0         6.6125        6.22353      -0.461121    0.000241945     -9.327e-05       0.854048   -3.20025e-05    0.000223804
            0        5.83456        6.22353      -0.533648   -8.99121e-05   -0.000140789       0.911125    8.95142e-05    3.90031e-05
            0        5.05662        6.22353      -0.671239   -0.000156684   -0.000207463       0.845954    0.000272281    0.000341785
            0        4.27868        6.22353      -0.714546   -0.000202422   -9.51627e-05       0.645039    7.84389e-05    0.000296642
            0        3.50073        6.22353      -0.566017    0.000129854    0.000707127        0.44674    3.63322e-05    -0.00036123
            0        2.72279        6.22353      -0.292272    -0.00018398   -3.98797e-06       0.403394    0.000170503   -1.71505e-05
            0        1.94485        6.22353     -0.0588061     -0.0001332   -0.000411656       0.540541    6.13446e-05     0.00108392
            0        1.16691        6.22353      0.0508205    3.27975e-05    -7.9291e-05       0.740512    0.000119271    0.000156719
            0       0.388971        6.22353      0.0676216    -9.6143e-05    9.59271e-05       0.882955    0.000149426   -0.000121456
            0      -0.388971        6.22353      0.0676216     9.6143e-05    9.59271e-05       0.882955   -0.000149426   -0.000121456
            0       -1.16691        6.22353      0.0508205   -3.27975e-05    -7.9291e-05       0.740512   -0.000119271    0.000156719
            0       -1.94485        6.22353     -0.0588061      0.0001332   -0.000411656       0.540541   -6.13446e-05     0.00108392
            0       -2.72279        6.22353      -0.292272     0.00018398   -3.98797e-06       0.403394   -0.000170503   -1.71505e-05
            0       -3.50073        6.22353      -0.566017   -0.000129854    0.000707127        0.44674   -3.63322e-05    -0.00036123
            0       -4.27868        6.22353      -0.714546    0.000202422   -9.51627e-05       0.645039   -7.84389e-05    0.000296642
            0       -5.05662        6.22353      -0.671239    0.000156684   -0.000207463       0.845954   -0.000272281    0.000341785
            0       -5.83456        6.22353      -0.533648    8.99121e-05   -0.000140789       0.911125   -8.95142e-05    3.90031e-05
            0        -6.6125        6.22353      -0.461121   -0.000241945     -9.327e-05       0.854048    3.20025e-05    0.000223804
            0         6.6125        5.44559       -0.88326   -0.000401989    0.000667382      -0.268211    -0.00015722    0.000466315
            0        5.83456        5.44559      -0.942109    0.000103399    -0.00130054      -0.231415   -2.11686e-05   -0.000261929
            0        5.05662        5.44559        -1.0016    -3.6276e-05    0.000691746      -0.325829    6.70639e-05    0.000532362
            0        4.27868        5.44559      -0.908794   -0.000493116    0.000223882      -0.473347   -0.000112755    6.51578e-05
            0        3.50073        5.44559      -0.663513   -0.000228467    0.000148691      -0.490679     -0.0003798    7.29041e-05
            0        2.72279        5.44559      -0.444867   -2.12487e-05    8.51285e-05      -0.290911   -8.57129e-05   -8.96655e-05
            0        1.94485        5.44559      -0.423665    0.000257214    -0.00033775      0.0226168    2.28137e-05   -4.67771e-05
            0        1.16691        5.44559       -0.58777    5.80097e-05    9.73228e-06        0.26916    -4.1469e-05    3.27438e-06
            0       0.388971        5.44559      -0.753237    8.54526e-05   -8.90064e-05       0.379168   -7.79434e-06   -7.81364e-05
            0      -0.388971        5.44559      -0.753237   -8.54526e-05   -8.90064e-05       0.379168    7.79434e-06   -7.81364e-05
            0       -1.16691        5.44559       -0.58777   -5.80097e-05    9.73228e-06        0.26916     4.1469e-05    3.27438e-06
            0       -1.94485        5.44559      -0.423665   -0.000257214    -0.00033775      0.0226168   -2.28137e-05   -4.67771e-05
            0       -2.72279        5.44559      -0.444867    2.12487e-05    8.51285e-05      -0.290911    8.57129e-05   -8.96655e-05
            0       -3.50073        5.44559      -0.663513    0.000228467    0.000148691      -0.490679      0.0003798    7.29041e-05
            0       -4.27868        5.44559      -0.908794    0.000493116    0.000223882      -0.473347    0.000112755    6.51578e-05
            0       -5.05662        5.44559        -1.0016     3.6276e-05    0.000691746      -0.325829   -6.70639e-05    0.000532362
            0       -5.83456        5.44559      -0.942109   -0.000103399    -0.00130054      -0.231415    2.11686e-05   -0.000261929
            0        -6.6125        5.44559       -0.88326    0.000401989    0.000667382      -0.268211     0.00015722    0.000466315
            0         6.6125        4.66765       0.106424    1.10028e-05    5.08173e-05      -0.942654   -3.44062e-05   -0.000119339
            0        5.83456        4.66765      0.0359613    9.65991e-05    7.42473e-06      -0.897496    -0.00106073    8.71542e-05
            0        5.05662        4.66765    0.000837384   -7.44703e-06    2.03757e-05      -0.963698   -1.80958e-05    5.98927e-05
            0        4.27868        4.66765       0.112503    2.04706e-05   -0.000104255       -1.02704   -0.000152785   -0.000291755
            0        3.50073        4.66765       0.285259    9.00874e-05     -4.868e-05      -0.898155    -7.1132e-05   -0.000190043
            0        2.72279        4.66765       0.300646   -1.93423e-05   -5.99816e-05      -0.598795   -3.40392e-06   -1.60811e-05
            0        1.94485        4.66765      0.0479704    7.18309e-05   -0.000160608      -0.371702   -9.31378e-05    0.000472944
            0        1.16691        4.66765      -0.345237     0.00010725   -0.000159509       -0.37889    0.000357779    -0.00020371
